City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,esperance,-33.87,121.9,62.6,67,0,18.34,AU,1586378696
176,kaitangata,-46.28,169.85,50.0,70,100,1.99,NZ,1586378697
177,pisco,-13.7,-76.22,75.99,30,40,8.05,PE,1586378697
178,beysehir,37.68,31.72,45.5,54,100,2.1,TR,1586378697
179,kariba,-16.52,28.8,72.81,60,21,5.44,ZW,1586378651
180,vostok,46.49,135.88,20.75,87,100,2.39,RU,1586378453
181,morehead,37.27,-87.18,84.2,48,1,8.05,US,1586378698
182,lebu,-37.62,-73.65,62.62,65,3,3.76,CL,1586378698
183,saint-leu,-21.15,55.28,77.0,78,75,6.93,RE,1586378698
184,worthington,40.09,-83.02,73.99,56,1,6.93,US,1586378409
185,victoria,22.29,114.16,69.01,72,20,9.17,HK,1586378698
186,cayenne,4.93,-52.33,84.2,70,75,11.41,GF,1586378699
187,bengkulu,-3.8,102.27,77.23,80,84,4.52,ID,1586378683
188,walvis bay,-22.96,14.51,60.01,82,0,3.36,NA,1586378699
189,iqaluit,63.75,-68.51,14.0,72,5,1.9,CA,1586378699
190,basco,20.45,121.97,75.61,71,17,3.33,PH,1586378699
191,faya,18.39,42.45,68.0,59,0,2.44,SA,1586378700
192,ketchikan,55.34,-131.65,39.2,93,90,28.86,US,1586378700
193,birjand,32.87,59.22,51.8,100,75,4.7,IR,1586378700
194,lucea,18.45,-78.17,87.01,74,20,17.22,JM,1586378700
195,port hardy,50.7,-127.42,46.4,75,40,6.93,CA,1586378541
196,eenhana,-17.47,16.33,77.0,61,58,4.7,NA,1586378700
197,phonhong,18.5,102.42,75.96,72,0,1.59,LA,1586378701
198,belmonte,-15.86,-38.88,82.4,74,20,11.41,BR,1586378612
199,ribeira grande,38.52,-28.7,62.6,82,40,14.99,PT,1586378497
200,nanortalik,60.14,-45.24,34.11,84,99,14.47,GL,1586378701
201,pelym,61.01,62.0,21.04,92,23,9.13,RU,1586378701
202,provideniya,64.38,-173.3,8.6,71,46,8.95,RU,1586378701
203,kloulklubed,7.04,134.26,77.0,94,75,12.37,PW,1586378702
204,daru,-9.08,143.21,78.93,85,47,7.67,PG,1586378702
205,raudeberg,61.99,5.14,42.8,75,40,16.11,NO,1586378702
206,isangel,-19.55,169.27,77.85,74,22,16.04,VU,1586378684
207,agadez,19.75,10.25,81.66,13,100,8.68,NE,1586378702
208,narsaq,60.92,-46.05,44.6,24,98,2.24,GL,1586378690
209,saeby,57.33,10.52,46.0,81,39,1.01,DK,1586378703
210,aykhal,66.0,111.5,23.31,93,89,10.96,RU,1586378479
211,khani,41.96,42.96,46.4,49,0,23.04,GE,1586378703
212,inirida,3.87,-67.92,82.72,87,100,1.74,CO,1586378703
213,barstow,34.9,-117.02,46.4,75,90,6.93,US,1586378703
214,bastia,42.67,9.33,53.6,54,0,3.36,FR,1586378703
215,torbay,47.67,-52.73,37.0,50,75,12.75,CA,1586378503
216,namibe,-15.2,12.15,75.07,52,0,10.96,AO,1586378704
217,bria,6.54,21.99,73.65,72,73,6.35,CF,1586378704
218,acajutla,13.59,-89.83,89.01,64,6,4.0,SV,1586378704
219,la ronge,55.1,-105.28,21.2,57,90,18.34,CA,1586378698
220,saint-philippe,-21.36,55.77,77.0,78,75,6.93,RE,1586378456
